ACCEPT	Tamam
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alýcý
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalý
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açýk
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniþ çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakýn çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_ATTENDANCE_LOCA1	Ýlk katýlým: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA2	10 veya üstü: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA3	20 veya üstü: 2x Onur madalyasý
GUILD_ATTENDANCE_LOCA4	30 veya üstü: 4x Onur madalyasý
GUILD_ATTENDANCE_LOCA5	40 veya üstü: 6x Onur madalyasý
GUILD_ATTENDANCE_LOCA6	50 veya üstü: 8x Onur madalyasý
GUILD_ATTENDANCE_LOCA7	60 veya üstü: 10x Onur madalyasý
GUILD_ATTENDANCE_LOCA8	70 veya üstü: 12x Onur madalyasý
GUILD_ATTENDANCE_LOCA9	Katýlým baþlangýcý: her gün saat 5:00'da
GUILD_ATTENDANCE_TITLE	Katýlým ödülü
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmiþi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eþya alýmý
GUILD_BASEINFO_BUILDING	Lonca binasý
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankasý bilgisi
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca simyacýsý
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASENAME	Temel isim
GUILD_BATTLE_AREA_MOVE_BUTTON	Iþýnlanma
GUILD_BATTLE_RANK_BOARD	Sýralama listesi
GUILD_BATTLE_RANK_BOARD_MOB_KILL	MOB\ndevirme
GUILD_BATTLE_RANK_BOARD_NAME	Ýsim
GUILD_BATTLE_RANK_BOARD_PC_DEAD	OK\nöldürme
GUILD_BATTLE_RANK_BOARD_PC_KILL	OK-\ndevirme
GUILD_BATTLE_RANK_BOARD_RANK	Sýra
GUILD_BATTLE_RANK_BOARD_TEAM	Takým
GUILD_BATTLE_RESULT_BOARD	Lonca Savaþý Sonuçlarý
GUILD_BATTLE_RESULT_BOARD_EXIT	Çýk
GUILD_BATTLE_RESULT_BOARD_RANKING	Sýra
GUILD_BATTLE_STATUS_BOARD	Sýralama Listesi
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca deðiþikliði
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Deðiþtir
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DONATE_BUTTON_OVER_TEXT	Rastgele eþya
GUILD_DONATE_COUNT	Mevcut baðýþlar: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Lonca EXP
GUILD_DONATE_HIGH_MATERIAL	Büyük baðýþ
GUILD_DONATE_MEDAL_OF_HONOR	Onur madalyasý
GUILD_DONATE_MIDDLE_MATERIAL	Orta baðýþ
GUILD_DONATE_MY_MEDAL_OF_HONOR	Onur madalyalarým
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Büyük baðýþ
GUILD_DONATE_TAB_MIDDLE	Orta baðýþ
GUILD_DONATE_TAB_NORMAL	Küçük baðýþ
GUILD_DONATE_TITLE	Baðýþ EXP
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çýkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarýný asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
GUILD_GRADE_PERMISSION_WAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliðini býrak
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çýkar
GUILD_MEMBER_PACE_ATTENDANCE	Katýlým ({0}/{1})
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Zihin Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sýralama Puanlarý
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_RANKING_TITLE	Lonca Sýralamasý
GUILD_RANKING_COUNT	#
GUILD_RANKING_GUILD_NAME	Isim
GUIlD_RANKING_OWNER_NAME	Lider
GUILD_RANKING_LEVEL	Seviye
GUILD_RANKING_POINT	Puanlar
GUILD_RANKING_WIN	W
GUILD_RANKING_DRAW	D
GUILD_RANKING_LOSS	L
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaþlar
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaþ süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaþ listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaþlar: S, Galibiyet: G, Maðlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaþ listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaþý
GUILD_WAR_TYPE_DIE	Arena Savaþý
GUILD_WAR_TYPE_FLAG	Bayrak Savaþý
GUILD_WAR_TYPE_NORMAL	Meydan Savaþý
GUILD_WAR_TYPE_TIGER	Ýmha Savaþý
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
INVENTORY_TITLE	Envanter
INVENTORY_UNLOCK	%d Envanter Geniþletme özelliðini kullanmak ister misiniz?
LANGUAGE_AE	Arapça
LANGUAGE_CZ	Çekçe
LANGUAGE_DE	Almanca
LANGUAGE_DK	Danca
LANGUAGE_EN	Ýngilizce
LANGUAGE_ES	Ýspanyolca
LANGUAGE_FR	Fransýzca
LANGUAGE_GR	Yunanca
LANGUAGE_HU	Macarca
LANGUAGE_IT	Ýtalyanca
LANGUAGE_NL	Flamanca
LANGUAGE_NONE	Hiçbir þey seçilmemiþ
LANGUAGE_PL	Lehçe
LANGUAGE_PT	Portekizce
LANGUAGE_RO	Rumence
LANGUAGE_RU	Rusça
LANGUAGE_TR	Türkçe
LANGUAGE_SYSTEM_CHANGE	Dili deðiþtirmek istiyor musunuz?
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_EXIT	Çýkýþ
LOGIN_ID	Kullanýcý adý
LOGIN_PASSWORD	Þifre
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_ADD_BLOCK	Engelle
MESSENGER_BLOCK	Engelle
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_DELETE_FRIEND	Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINIMIZE	Küçült
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik kurallarý
MINI_BOSS_DUNGEON_TITLE_NAME	Katýlýmcýlar
MINI_BOSS_DUNGEON_TITLE_NUM	Rütbe
MINI_BOSS_DUNGEON_TITLE_POINT	Kýyamet puanlarý
MINI_BOSS_DUNGEON_TOOTIP_01	Zindan genel görünümü
MINI_BOSS_DUNGEON_TOOTIP_02	Seviye 40 - 80 için kýyamet
MINI_BOSS_DUNGEON_TOOTIP_03	Seviye 81 üstü kýyamet
MINI_BOSS_DUNGEON_TOOTIP_04	Gir
MINI_BOSS_DUNGEON_TOOTIP_05	Kalan süre
MINI_BOSS_DUNGEON_TOOTIP_06	Kýyamet puanlarým
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan kýyametler
MINI_BOSS_DUNGEON_TOOTIP_08	Ödülüm
MINI_BOSS_TITLE	Zodyak kýyameti
MINI_GAME_BLACK_AND_WHITE_DONATE	Baðýþlar
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Kahin Yarýþmasý
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Sýralama Listesi
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ödüller
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Baþla
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Kahin Yarýþmasý
MINI_GAME_CATCHKING_CHALLENGE	Girdi
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
MINI_GAME_CATCHKING_HIGH_SCORE	En yüksek skor
MINI_GAME_CATCHKING_MYNUMBER	Kartým
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-Up açýk/kapalý
MINI_GAME_CATCHKING_RETRY	Yeniden oyna
MINI_GAME_CATCHKING_REWARD	Ödülün
MINI_GAME_CATCHKING_SCORE	Puan
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açýlan kartlar
MINI_GAME_CATCHKING_START_TEXT	Baþla
MINI_GAME_CATCHKING_TITLE	Kralý yakala
MINI_GAME_FISH_HELP_TEXT	Yardým
MINI_GAME_FISH_START_TEXT	Baþla
MINI_GAME_FISH_TITLE	Balýk yapboz oyunu
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Okey Kart Oyunu
MINI_GAME_YUTNORI_COM_TEXT	Bilgisayar
MINI_GAME_YUTNORI_PLAYER_TEXT	Oyuncular
MINI_GAME_YUTNORI_PROBABILITY	Olasýlýk
MINI_GAME_YUTNORI_PROB_DESC	Daha yüksek bir olasýlýk kazandýrmak için bir Yut atýþý seç.
MINI_GAME_YUTNORI_REMAIN_COUNT	Hamleler
MINI_GAME_YUTNORI_REWARD_TEXT	Ödül
MINI_GAME_YUTNORI_SCORE	Puan durumu
MINI_GAME_YUTNORI_START_TEXT	Baþla
MINI_GAME_YUTNORI_THROW	At
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MISTS_ISLAND_EMPIRE_NAME	Krallýk adý
MISTS_ISLAND_EMPIRE_SCORE	Krallýk puaný
MISTS_ISLAND_END_TIME	Bitiþ tarihi
MISTS_ISLAND_EXIT	Vazgeç
MISTS_ISLAND_INFO_TEXT	Rütbe ve durum bilgisi
MISTS_ISLAND_RANK	Rütbe
MISTS_ISLAND_SCORE	Puan
MISTS_ISLAND_TITLE_RANK	Rütbe ve durumla ilgili bilgi
MISTS_ISLAND_TITLE_SCORE	Genel görünüm
MONSTER_CARD_ACHIEV_BONUS	Baþarýlar
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Atý artýk besleyemezsin.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Atý besle
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Seviyeyi artýrmak için tüm at yemlerini daðýt.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Yetersiz at yemi
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Seviyeyi artýr
MOUNT_UPGRADE_SYSTEM_TITLE	At seviyesini artýr
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NEW_EXCHANGE_YOU	Sen
NO	Hayýr
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_ENB_MODE	ENB Modu
OPTION_ENB_MODE_ON	On
OPTION_ENB_MODE_ON_TOOLTIP	ENB Modu (HD)
OPTION_ENB_MODE_OFF	Off
OPTION_ENB_MODE_OFF_TOOLTIP	Normal Mod (Varsayýlan)
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_FOV	Görüþ Alaný
OPTION_FOV_RESET	Sýfýrla
OPTION_FOG_OFF	Kapalý
OPTION_FOG_ON	Açýk
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Saldýrgan
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Ýsim rengi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_OUTLINE	Ýsim Anahattý
OPTION_NAME_OUTLINE_OFF	Kapalý
OPTION_NAME_OUTLINE_ON	Açýk
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SALESTEXT	Market Ýsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SNOW_MODE	Kar Yaðýþý
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efektler
OPTION_STONES	Metin Taþlarý
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TELEPORT	Iþýnlanma
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PET_AGE_TEXT	Pet yaþý
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini deðiþtir
PET_ATTR_CONFIRMATION	Deðiþtir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Besle
PET_FEED_TITLE_EVOLVE	Geliþtir
PET_FEED_TITLE_EXP	Eþya EXP
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Yumurtadan çýk
PET_HATCHING_NIK	Pet adý
PET_HATCHING_WINDOW_TITLE	Kuluçka Makinesi
PET_INFORMATION_ABILITIES	Bonuslar
