ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
BELT_RENEWAL_INVENTORY_FULL	Nu este destul loc in inventar.
BNW_COIN	Moneda Profet
BUY_LIMIT_LEVEL	Limita cumparare: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Nu poti face altceva daca ai deschis un magazin privat.
CANNOT_EQUIP_IN_EXCHANGE	Nu poti schimba echipamentul cand negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poti schimba echipamentul cand negociezi.
CANNOT_FISHING_RIDE_MOUNT	Nu poti pescui in timp ce calaresti.
CANNOT_FISHING_WHILE_POLY	Nu poti pescui in timp ce esti transformat.
CANNOT_ILLUSTRATIONPAGE_WARP	Nu poti folosi Card Monstru de teleportare aici.
CANNOT_MOVE_DRAGON_SOUL_WHILE_ATTACK	Nu poti face asta in timp ce te misti.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poti deschide magazinul intr-un spatiu public.
CANNOT_POLY_STATUS	Nu poti sa te transformi momentan.
CANNOT_PVP_MAP_MESSAGE	Nu poti face asta in aceasta zona.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sageata.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_BLUE	Nu poti folosi Sufletul Lupului Indigo atunci cand este activ Sufletul Lupului Rosu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poti pescui fara sa ai echipata o undita.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticla goala.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticla cu otrava.
CANNOT_SKILL_NEED_TARGET	Care este tinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta in timp ce calaresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	Nu poti folosi aceasta abilitate pe acest mount.
CANNOT_SKILL_NOT_YET_LEARN	Nu am invatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra mortilor.
CANNOT_SKILL_RED	Nu poti folosi Sufletul Lupului Rosu atunci cand este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_UNEQUIP_IN_BATTLE	Trebuie sa stai pe loc pentru a dezechipa obiectul.
CANNOT_USE	Nu poti folosi asta.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	Nu poti folosi Boaba Zen deoarece rangul tau negativ nu poate fi redus mai mult.
CANNOT_WHISPER_BLOCKED_TARGET	Mai intai trebuie sa eliminat %s din lista de blocare.	SA
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet soptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poti sopti cuiva ceva daca soptitul e complet blocat.	SNA
CANNOT_WHISPER_TARGET_BLOCKED_ME	%s te-a blocat.	SA
CANT_USE_MESSAGE_WHEN_EQUIP	Nu poti folosi asta pe un obiect echipat.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	Primesti Pachete Rege.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	Primesti Carti Rege.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	Nu ai suficiente obiecte sau bani pentru a juca.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	Nu mai poti primi Pachete Rege.
CATEGORY_ARMOR_ARMOR_BODY	Armura
CATEGORY_ARMOR_ARMOR_GLOVE	Manusi
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_AURA	Costume Aura
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Esarfe
CATEGORY_DRAGON_STONE	Alchimia Piatra Dragon
CATEGORY_DRAGON_STONE_DEMON	Ametist
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jad
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubine
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Altele
CATEGORY_EQUIPMENT_ARMOR	Echipament
CATEGORY_EQUIPMENT_JEWELRY	Bijuterii
CATEGORY_EQUIPMENT_WEAPON	Arme
CATEGORY_ETC	Altele
CATEGORY_ETC_ALL	Toti
CATEGORY_ETC_ETC	Altele
CATEGORY_ETC_EVENT	Obiecte Eveniment
CATEGORY_ETC_GIFTBOX	Cufere | Cutii
CATEGORY_ETC_MATRIMORY	Mariaj
CATEGORY_ETC_PARTI	Cartea Arta Razboiului
CATEGORY_ETC_POLYMORPH	Marmura Transformare
CATEGORY_ETC_RECIPE	Productie Licori
CATEGORY_ETC_SEAL	Personalizate
CATEGORY_FISHING_PICK	Pescuit | Minerit
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Tarnacoape
CATEGORY_FISHING_PICK_ETC	Altele
CATEGORY_FISHING_PICK_FISHING_POLE	Momeala de Pescuit
CATEGORY_FISHING_PICK_FOOD	Peste
CATEGORY_FISHING_PICK_PICK_BOOK	Ghid de Minat
CATEGORY_FISHING_PICK_STONE	Minereuri
CATEGORY_JEWELRY_ARMOR_EAR	Cercei
CATEGORY_JEWELRY_ARMOR_FOOTS	Pantofi
CATEGORY_JEWELRY_ARMOR_NECK	Coliere
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bratari
CATEGORY_JEWELRY_ITEM_BELT	Curele
CATEGORY_MOUNT_PET	Mounti | Insotitori
CATEGORY_MOUNT_PET_CHARGED_PET	Insotitori
CATEGORY_MOUNT_PET_EGG	Oua Insotitori
CATEGORY_MOUNT_PET_FREE_PET	Insotitori Avansati
CATEGORY_MOUNT_PET_MOUNT	Mounti
CATEGORY_POTION	Licori
CATEGORY_POTION_ABILITY	Consumabile
CATEGORY_POTION_ETC	Altele
CATEGORY_POTION_HAIRDYE	Vopsele de Par
CATEGORY_SKILL	Abilitati
CATEGORY_SKILL_BOOK_OF_OBLIVION	Cartea Uitarii
CATEGORY_SKILL_ETC	Altele
CATEGORY_SKILL_HORSE_SKILL_BOOK	Carte Abilitati Cal
CATEGORY_SKILL_PAHAE	Respingere | Ajutor
CATEGORY_SKILL_SKILL_BOOK	Carti Abilitati
CATEGORY_SORT_LOWEST_ALL_PRICE	Cel mai mic pret total
CATEGORY_SORT_LOWEST_COUNT	Suma (de la mic la mare)
CATEGORY_SORT_LOWEST_PER_PRICE	Cel mai mic pret unitar
CATEGORY_SORT_MAXIMUN_ALL_PRICE	Cel mai mare pret total
CATEGORY_SORT_MAXIMUN_COUNT	Suma (de la mare la mic)
CATEGORY_SORT_MAXIMUN_PER_PRICE	Cel mai mare pret unitar
CATEGORY_SORT_RECENT	Cel mai nou
CATEGORY_TUNING	Imbunatatiri
CATEGORY_TUNING_ALCHEMY	Creste Sansele
CATEGORY_TUNING_ETC	Altele
CATEGORY_TUNING_RESOURCE	Materiale
CATEGORY_TUNING_STONE	Pietrele Spiritului
CATEGORY_UNIQUE	Obiecte Speciale
CATEGORY_UNIQUE_ABILITY	Consumabile
CATEGORY_UNIQUE_ETC	Altele
CATEGORY_WEAPON_WEAPON_ARROW	Sageti
CATEGORY_WEAPON_WEAPON_BELL	Clopote
CATEGORY_WEAPON_WEAPON_BOW	Arcuri
CATEGORY_WEAPON_WEAPON_CLAW	Gheare
CATEGORY_WEAPON_WEAPON_DAGGER	Cutite
CATEGORY_WEAPON_WEAPON_FAN	Evantaie
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Sulite
CATEGORY_WEAPON_WEAPON_QUIVER	Tolba
CATEGORY_WEAPON_WEAPON_SWORD	Arme O Mana
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Arme Doua Maini
CHANGE_ALREADY_REGISTER	[Transformare] Acest obiect a fost deja trimis.
CHANGE_LOOK_CHANGE_ITEM	Vrei sa transformi acest obiect?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transformare] Intai trebuie sa scoti obiectul dorit pentru transformare.
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va sterge.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transformare] Acest obiect nu poate fi transformat.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transformare] Nu poti transforma un obiect in timp ce este echipat.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transformare] Nu poti trimite acest obiect.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transformare] Acest obiect este personaliat.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transformare] Trimite obiectul ce doresti sa il transformi.
CHANGE_LOOK_INSERT_ITEM	[Transformare] Trebuie sa trimiti obiectul mai intai.
CHANGE_LOOK_NEED_MONEY	Obiecte sau Yang insuficiente.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transformare] Aceasta actiune nu este posibila in timp ce fereastra de Transformare este deschisa.
CHANGE_LOOK_TITLE	Transformare
CHANGE_LOOK_TITLE2	Transformare Mount
CHANGE_PET_PLEASE_APPEND_FIRST	Mai intai trebuie selectat insotitorul.
CHANGE_TOOLTIP2_LINE1	Adauga obiectul tinta in stanga si materialul in dreapta.
CHANGE_TOOLTIP2_LINE2	Apasa pe casuta pentru a utiliza Yang sau un Token Transformare si modifica aspectul mountului.
CHANGE_TOOLTIP2_LINE3	Folosind un Token Transformare schimbi infatisarea mountului fara sa te coste Yang (se va consuma Tokenul).
CHANGE_TOOLTIP2_LINE4	Daca schimbi aspectul unui mount cu durata de timp, durata va ramane neschimbata.
CHANGE_TOOLTIP2_LINE5	Daca mountul este permanent, iar materialul are o durata, mountul va mentine aspectul schimbat pe toata durata materialului.
CHANGE_TOOLTIP_LINE1	Pune in stanga obiectul ce doresti sa il transformi.
CHANGE_TOOLTIP_LINE2	Pune celalalt obiect in dreapta.
CHANGE_TOOLTIP_LINE3	Aspectul obiectului din stanga se va schimba.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) si platesti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	sa transformi un obiect fara a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Nu poti reveni la ecranul de login.
CHANNEL_EMPTY_SERVER	Niciun server
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	Acest canal este plin! Alege te rog altul.
CHANNEL_NOT_FIND_INFO	Nicio informatie gasita via Canal.
CHANNEL_PVP	Duel liber
CHANNEL_SELECT_CHANNEL	Alege canalul
CHANNEL_SELECT_REGION	Selecteaza regiunea.
CHANNEL_SELECT_SERVER	Alege serverul
CHANNEL_STATUS_BUSY	Ocupat
CHANNEL_STATUS_FULL	Plin
CHANNEL_STATUS_OFFLINE	Necunoscut
CHANNEL_STATUS_RECOMMENDED	Recomandat
CHANNEL_STATUS_VACANT	Scazut
CHANNEL_TEST_SERVER	Testeaza serverul
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Creaza caracter
CHARACTER_NAME	Nume
CHARACTER_SELECT_MODE	Alege caracter
CHARGE_BEAD_QUESTION	Animasfere necesare: %d. Doresti sa continui?
CHATTING_SETTING_ADD	Adauga fila.
CHATTING_SETTING_ADD_MAX	Nu mai poti adauga.
CHATTING_SETTING_CHANGE_TITLE_NAME	Doresti sa salvezi numele pentru acest chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Numele chatului general nu poate fi schimbat.
CHATTING_SETTING_CLEAR_QUESTION	Resetezi?
CHATTING_SETTING_DEL	Sterge camp
CHATTING_SETTING_LANGUAGE_OFF	Nu
CHATTING_SETTING_LANGUAGE_ON	Da
CHATTING_SETTING_QUESTION_DESC_1	1. Seteaza un mesaj pentru EXP castigat din uciderea monstrilor sau pierderea EXP.
CHATTING_SETTING_QUESTION_DESC_2	2. Seteaza un mesaj pentru prada sau Yang-ul obtinut.
CHATTING_SETTING_RETURN	Reseteaza campuri.
CHATTING_SETTING_SETTING	Setari
CHAT_ALL	Toti
CHAT_BLOCK	Blocheaza
CHAT_DICE_INFO	Arunca
CHAT_GUILD	Breasla
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Propozitia contine cuvinte nepermise.
CHAT_LOG	Arata mesaje vechi [L]
CHAT_LOG_TITLE	Log Chat
CHAT_MESSAGE_CLIENT_VERSION_NOT_MATCH	Ai fost deconectat deoarece versiunea clientului tau nu corespunde. Te rugam sa iti actualizezi versiunea si sa te conectezi din nou.
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_OPEN_LINK_DANGER	Atentie: Acest link poate contine un virus!
CHAT_OPEN_LINK	Doresti sa deschizi acest link?
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Trimite mesaj
CHAT_SEND_MEMO	Trimite soapta [Shift+Enter]
CHAT_SHOUT	Striga
CHAT_SHOUT_LIMIT	Poti striga doar o data la 15 secunde.
CHAT_WHISPER	Șoapta
CREATE_ERROR_GM_NAME	Nu poti folosi ,GM‘ la numele caracterului.
CREATE_ERROR_INSULT_NAME	Acest nume este invalid.
CREATE_ERROR_LIMIT_LEVEL	Caracterul tau trebuie sa aiba cel putin nivelul 80.
CREATE_ERROR_TIME_LIMIT	Poti crea un singur caracter la fiecare 30 de secunde.
CREATE_ERROR_WRONG_STRING	Numele caracterului este invalid.
CREATE_EXIST_SAME_NAME	Exista deja un caracter cu acest nume.
CREATE_FAILURE	Nu poti crea acest caracter.
CREATE_FULL	Nu mai poti crea alte caractere.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
CUBE_ALCHEMY_BANN_SIGN	Nu poti face nimic acum.
CUBE_CATEGORY_ARMOR	Armuri
CUBE_CATEGORY_ETC	Accesorii
CUBE_CATEGORY_NINJA	Ninja
CUBE_CATEGORY_SHAMAN	Șaman
CUBE_CATEGORY_SURA	Sura
CUBE_CATEGORY_OTHERS	Altele
CUBE_CATEGORY_WARRIOR	Razboinic
CUBE_CATEGORY_WEAPON	Arme
CUBE_COPY_ATTR_INFO	Pentru a transfera bonusurile, muta itemul in primul slot.
CUBE_CATEGORY_ACCESSORY	Bijuterii
CUBE_CATEGORY_ALCHEMY	Catalizator
CUBE_CATEGORY_ARMOR	Armura
CUBE_CATEGORY_ARMOR_GLOVE	Manusi
CUBE_CATEGORY_BELT	Curele
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Eveniment
CUBE_CATEGORY_JOB	Clasa
CUBE_CATEGORY_MAP	Harti Complete
CUBE_CATEGORY_PET	Insotitor
CUBE_CATEGORY_SETADD_ARMOR	Creeaza armura set
CUBE_CATEGORY_SETADD_HELMET	Creeaza coif set
CUBE_CATEGORY_SETADD_WEAPON	Creeaza arma set
CUBE_CATEGORY_WEAPON	Arma
CUBE_CATEGOR_SKILL_BOOK	Cartea de Abilitati
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Foloseste un Catalizator corespunzator.
CUBE_FAIL	Fabricarea a esuat.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Cel putin unul dintre obiectele utilizate este extrem de valoros (are mai mult de %d bonusuri).
CUBE_MAKE_CONFIRM_QUESTION_2	Chiar doresti sa continui?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Nu ai %s, nu poti fabrica chiar acum.
CUBE_NOT_ENOUGH_GEM	Nu ai suficient Gaya.
CUBE_NOT_ENOUGH_GOLD	Yang insuficient pentru fabricare.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficient pentru craft.
CUBE_PLEASE_SELECT	Niciun obiect ales.
CUBE_SELECT_ITEM_FIRST	Mai intai alege un obiect pentru fabricare.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Timp ramas: {0} - {1} ore
CUBE_USING_ALCHEMY_INFO	Foloseste %s pentru fabricare (%d buc.)
CZ_REWARD_QUESTION_COMPLETE	Vrei sa revendici acest loc?
CZ_REWARD_TOOLTIP_10GAN	Insigna Zodiac
CZ_REWARD_TOOLTIP_10GAN_COUNT	Numar in inventar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantitate necesara
CZ_REWARD_TOOLTIP_12ZI	Insigna Gardian
CZ_REWARD_TOOLTIP_12ZI_COUNT	Numar in inventar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantitate necesara
CZ_REWARD_TOOLTIP_ALL_BOX	Comoara Astrala
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Apasa aici pentru a colecta Comoara Astrala drept recompensa.
